# CSV-File created with merge-csv.com,,,,,,,,,,,
# -----------------------------------------------------------,,,,,,,,,,,
,,,,,,,,,,,
List Sekolah SMA,,,,,,,,,,,
No,Nama Sekolah,NPSN,BP,Status,Latitude & Longitude,,,,,,
2,SMP NEGERI 71,70008563,SMP,Negeri,"-6.921588732151063, 107.7148721368702",,,,,,
2,SMP NEGERI 42,20219399,SMP,Negeri,"-6.956884062851495, 107.67192721365248",,,,,,
2,SMP NEGERI 49,20219380,SMP,Negeri,"-6.907312968046737, 107.65802277919911",,,,,,
2,SMP NEGERI 36,20219419,SMP,Negeri,"-6.942136240025164, 107.5739606791996",,,,,,
2,SMP NEGERI 64,70007965,SMP,Negeri,"-6.891039309871192, 107.58017926385719",,,,,,
2,SMP NEGERI 33,20219422,SMP,Negeri,"-6.9280293821464385, 107.58956262152854",,,,,,
2,SMP NEGERI 31,20219412,SMP,Negeri,"-6.938277838544802, 107.6404133368704",,,,,,
2,SMP NEGERI 51,20219388,SMP,Negeri,"-6.9644523976139086, 107.68011802337715",,,,,,
2,SMP NEGERI 59,69989951,SMP,Negeri,"-6.900441168491427, 107.6595427657053",,,,,,
2,SMP NEGERI 63,69989955,SMP,Negeri,"-6.899866921593742, 107.62956833686975",,,,,,
2,SMP NEGERI 40,20219401,SMP,Negeri,"-6.905415032001535, 107.60665768289522",,,,,,
2,SMP BINTANG MULIA,20269169,SMP,Swasta,"-6.954119095499439, 107.60183642337711",,,,,,
2,SMP NEGERI 5,20219379,SMP,Negeri,"-6.914582026280825, 107.61429145221183",,,,,,
2,SMP NEGERI 58,70007964,SMP,Negeri,"-6.925359780822697, 107.6877649638576",,,,,,
2,SMP AL HUSAINIYYAH,20219191,SMP,Swasta,"-6.879950058384397, 107.60656323686952",,,,,,
2,SMP GANESHA,20219473,SMP,Swasta,"-6.938818436753714, 107.6060087522122",,,,,,
2,SMP NEGERI 66,70008558,SMP,Negeri,"-6.942768839945681, 107.68385736755401",,,,,,
2,SMP MADYA,20219436,SMP,Swasta,"-6.950351293234561, 107.6397621810478",,,,,,
2,SMP THARIIQUL JANNAH,60726085,SMP,Swasta,"-6.926612030918225, 107.68943806385758",,,,,,
3,SMP NEGERI 69,70008561,SMP,Negeri,"-6.881700516931821, 107.60946175221133",,,,,,
3,SMP ALFA CENTAURI,20280601,SMP,Swasta,"-6.927589631425073, 107.62343919454115",,,,,,
3,SMP NEGERI 41,20219400,SMP,Negeri,"-6.915135126542135, 107.59007023687009",,,,,,
3,SMP NEGERI 68,70008560,SMP,Negeri,"-6.891492358809467, 107.57873979454062",,,,,,
3,SMP NEGERI 61,69989953,SMP,Negeri,"-6.902744765377331, 107.64799919454084",,,,,,
3,SMP BPK PENABUR HOLIS,20219196,SMP,Swasta,"-6.939264587244492, 107.56469718104766",,,,,,
3,SMP BINAHARAPAN,20219194,SMP,Swasta,"-6.915602326762877, 107.68658006755366",,,,,,
3,SMP AL-KHULAFA,69967264,SMP,Swasta,"-6.912183770894964, 107.70866185036364",,,,,,
3,SMP AR RAFI DRAJAT,69985784,SMP,Swasta,"-6.940873639540635, 107.6464200657059",,,,,,
3,SMP NEGERI 3,20219404,SMP,Negeri,"-6.928917080695055, 107.60560153687034",,,,,,
3,SMP NEGERI 29,20219405,SMP,Negeri,"-6.8605880528811385, 107.58635330803375",,,,,,
3,SMP AL ISLAM,60725413,SMP,Swasta,"-6.909037478275845, 107.72307319638888",,,,,,
3,SMP AL KENZIE,70005213,SMP,Swasta,"-6.95499039461746, 107.64780232152891",,,,,,
3,SMP MUHAMMADIYAH 5,20219440,SMP,Swasta,"-6.924623782741211, 107.65527453871817",,,,,,
3,SMP NEGERI 39,20219417,SMP,Negeri,"-6.942262440073621, 107.56874203502242",,,,,,
